"Researcher Name","File "
"Alissa Antle","Antle_SSHRC_CV.pdf"
"Lyn Bartram","Bartram_Form100.pdf"
"Philip Beesley","Beesley_SHRC_CV.pdf"
"Robert Biddle","Biddle_Form100.pdf"
"Jim Bizzocchi","Bizzocchi_SSHRC_CV.pdf"
"Andrea Bunt","Bunt_Form100.pdf"
"Jacquelyn Burkell","Burkell_Research Contributions_FULL.pdf"
"Jacquelyn Burkell","Burkell_SSHRC_CV.pdf"
"Jason Camlot","Camlot_SSHRC_CV.pdf"
"Charles Clarke","Clarke_Form100.pdf"
"Christopher Collins","Collins_Form100.pdf"
"Jeremy Cooperstock","Cooperstock_Form100.pdf"
"Sara Diamond","Diamond_Form100.pdf"
"Luciana Duranti","Duranti_SSHRC_CV.pdf"
"Roy Eagleson","Eagleson_Form100.pdf"
"Alexadra Federova","Federova_Form100.pdf"
"Sidney Fels","Fels__Sid_SSRC_CV.pdf"
"Sidney Fels","Fels_Sid_Form100.pdf"
"Deborah Fels","Fels_Deb_SSHRC_Details.pdf"
"Deborah Fels","Fels_Deb_SSRC_CV.pdf"
"Eurgene Fiume","Fiume_Form100.pdf"
"Luanne Freund","Freund_Luanne_SSHRC_CV.pdf"
"Dragan Gasevic","Gasevic_Form100.pdf"
"Abby Goodrum","Goodrum_Abby_SSHRC CV.pdf"
"Sean Gouglas","Gouglas_Research Contributions.pdf"
"Sean Gouglas","Gouglas_SSHRC_CV.pdf"
"Nicholas Graham","Graham_Form100.pdf"
"Anatoliy Gruzd","Gruzd_Form100.pdf"
"Mark Hancock","Hancock_Form100.pdf"
"Andrew Herman","Herman_SSHRC_CV.pdf"
"Holger Hoos","Hoos_Form100.pdf"
"Lynn Hughes","Hughes_SSHRC_Details.pdf"
"Lynn Hughes","Hughes_SSHRC_Main.pdf"
"Jennifer Jenson","Jenson_Form100.pdf"
"Bill Kapralos","Kapralos_CIHR_CCV.pdf"
"Ronald Kellet","Kellett_Form100.pdf"
"Paul Kry","Kry_Form100.pdf"
"Jochen Lang","Lang_Form100.pdf"
"Maria Lantin","Lantin_NSERC_Form100.pdf"
"Victoria Lemeiux","Lemieux_Form100.pdf"
"Linda Li","LI_CCV.pdf"
"Karon MacLean","MacLean_NSERC_CV.pdf"
"Karon MacLean","MacLean_SSHRC_CV.pdf"
"Regan Mandryk","Mandryk_Form100.pdf"
"Alexandra Marin","Marin_CCV.pdf"
"Joanna McGrenere","McGrenere_Form100.pdf"
"Catherine Middleton","Middleton_SSHRC_CV.pdf"
"David Mould","Mould_Form100.pdf"
"Martin Mueller","Mueller_Form100.pdf"
"Carman Neustaedter","Neustaedter_Form100.pdf"
"Derek Nowrouzezahrai","Nowrouzezahrai_Form100.pdf"
"Gerald Penn","Penn_Form100.pdf"
"Anabel Quan-Haase","Quan-Haase_CCV.pdf"
"Derek Reilly","Reilly_Form100.pdf"
"Sandrine Ribaupierre","Ribaupierre_CCV.pdf"
"Faramarz","Samavati_Form100.pdf"
"Chris Shaw","Shaw_Form100.pdf"
"Bart Simon","Simon_Details.pdf"
"Bart Simon","Simon_SSHRC_CV.pdf"
"Karan Singh","Singh_Form100.pdf"
"Kevin Stanley","Stanley_Form100.pdf"
"Ian Stavness","Stavness_Form100.pdf"
"Eleni Stroulia","Stroulia_CCV.pdf"
"Wolfgang Stuerzlinger","Stuerzlinger_Form100.pdf"
"Duane Szafron","Szafron_Form100.pdf"
"Tony Szturm","Szturm_CCV.pdf"
"Anthony Tang","Tang_Form100.pdf"
"Michael Terry","Terry_CCV.pdf"
"Melanie Tory","Tory_Form100.pdf"
"Samuel Trosow","Trosow_CV.pdf"
"Ziba Vaghri","Vaghri_CCV.pdf"
"Ron Wakkary","Wakkary_Form 100.pdf"
"Barry Wellman","Wellman_SHRCC_CV.pdf"
"Darren Wershler","Wershler_SHHRC_CV.pdf"
"Darren Wershler","Wershler_SSHRC_CV_attach.pdf"
"Darren Wershler","Wershler_SSRCH_CV_exp.pdf"
"Philip Winne","Winne_SSHRC_CV.pdf"
"Bin Zheng","Zheng_Form100.pdf"